ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51458183,7.004000,0.000000,0.000000,1028.16,1028.49,1029.75,1030.6,-0.06,0.0,1400.88,649.7422561703990,672.5962025143890,0.3217738801372420,646.3333642358960,330.20352068321000,2.3690304781441200,644.2897883116380,40.713304771844000,-0.46059391146547200,0.5704230199947250,-0.7363890868405110
51458283,7.104000,0.000000,0.000000,1028.24,1028.52,1029.71,1030.6,-0.06,-0.01,1400.75,649.7455486849290,672.5927154513940,0.2983193143546450,646.3753361043320,330.21557099910400,2.531878356991730,644.2989718448810,40.72268748459750,-0.4675037444959850,0.5639766660653390,-0.7170110409469760
51458383,7.204000,0.000000,0.000000,1028.1,1028.56,1029.8,1030.65,-0.07,0.0,1400.77,649.7043261734370,672.5261926448790,0.3043937324527290,646.3423443597840,330.2113584936900,2.549677570637690,644.204661798474,40.71321275357040,-0.37930442881507300,0.5627018065397960,-0.7023336746238080
51458482,7.305000,0.000000,0.000000,1028.11,1028.52,1029.78,1030.59,-0.06,0.0,1400.81,649.6855698090030,672.5251840192910,0.2939912063682410,646.2744526666680,330.2046408428800,2.4200222067988800,644.2212861187170,40.70751146385530,-0.42853692062473000,0.5709156261208930,-0.7354859258113710
51458582,7.404000,0.000000,0.000000,1027.96,1028.53,1029.7,1030.57,-0.06,0.0,1400.72,649.7359199826080,672.587863149919,0.3021690880391820,646.2861452698170,330.20083464053400,2.509458395507890,644.0982879008880,40.73018508801930,-0.25835967800135100,0.5772731634256920,-0.7215055100750470
51458682,7.505000,0.000000,0.000000,1028.1,1028.47,1029.63,1030.58,-0.06,0.0,1400.79,649.7431035149610,672.5755335492410,0.29955266103747300,646.2613889701760,330.202657513766,2.393552552910750,644.080400697479,40.72938055116030,-0.28555961503149100,0.5826415774786260,-0.7336057992544830
51458783,7.605000,0.000000,0.000000,1028.05,1028.48,1029.72,1030.56,-0.06,0.0,1400.66,649.7407744873040,672.5860329927020,0.3171291240183880,646.2971707415120,330.21651521208600,2.5270853823431200,644.1452567110870,40.66112102820010,-0.34273853824496900,0.5762700754544430,-0.726737957483129
51458882,7.706000,0.000000,0.000000,1028.12,1028.44,1029.59,1030.49,-0.06,0.0,1400.73,649.7382232599560,672.5910191913560,0.31626292282587300,646.2763977687510,330.21986902674,2.3978099726851400,644.1698337926900,40.71656428394210,-0.35457638662620500,0.5793164253228700,-0.7417288187979300
51458982,7.806000,0.000000,0.000000,1028.06,1028.45,1029.77,1030.55,-0.06,0.0,1400.74,649.7411062048270,672.5804968542720,0.3144448365194670,646.3397544709730,330.20551552331800,2.346188256587350,644.2850657119510,40.709436278011200,-0.45225796111098200,0.5691907954978330,-0.7317335365187810
51459083,7.906000,0.000000,0.000000,1028.08,1028.45,1029.71,1030.44,-0.06,0.0,1400.75,649.7667155231510,672.566253674527,0.23927303026320900,646.3540006042240,330.1896753215300,2.3758261004669100,644.3125018232210,40.72252813163290,-0.45217906586619500,0.5710895501793540,-0.7381010351871770
51459183,8.006000,0.000000,0.000000,1028.05,1028.47,1029.77,1030.54,-0.06,0.0,1400.69,649.6907068942640,672.5306130815690,0.2991567651313680,646.3634301647410,330.21529758040400,2.5428354937869100,644.3358270880710,40.71336347505690,-0.4756414560197010,0.5568927299771420,-0.7125059324065070
51459282,8.105000,0.000000,0.000000,1028.07,1028.53,1029.67,1030.54,-0.06,0.0,1400.73,649.7595072172890,672.5870065690510,0.2976176822680530,646.383026115183,330.1985137836160,2.5652664067101100,644.3341013701510,40.71435228514860,-0.4373943555127970,0.5650068560156580,-0.7244896945899940
51459383,8.207000,0.000000,0.000000,1028.02,1028.59,1029.71,1030.65,-0.06,0.0,1400.76,649.6921518723070,672.5284995655620,0.28952184231228000,646.3257285202990,330.2122508468490,2.3728918875433500,644.3011642165020,40.715284672356900,-0.45971815967796700,0.5634428198514010,-0.7262006153424700
51459484,8.305000,0.000000,0.000000,1028.06,1028.55,1029.73,1030.56,-0.06,0.0,1400.74,649.6925701723530,672.5361798853780,0.2965970065310380,646.3409076953090,330.19866788856200,2.5256827402226800,644.2622813247760,40.7265240017112,-0.43015761039116000,0.5609375896057630,-0.7104557255683620
51459583,8.406000,0.000000,0.000000,1028.01,1028.45,1029.68,1030.55,-0.06,0.0,1400.72,649.7299641343130,672.5941432851620,0.32738967421087000,646.2825525893060,330.19530437954800,2.3915004859087700,644.1732898895550,40.659415592859900,-0.3135871018149270,0.5768578490209920,-0.7363245647746330
51459683,8.506000,0.000000,0.000000,1028.07,1028.45,1029.73,1030.63,-0.06,0.0,1400.85,649.7365822142960,672.5917763888250,0.30994176056419100,646.2669704851910,330.2010642149770,2.3846889841196600,644.1784688788870,40.68979109677390,-0.42359334257685500,0.58058614739784,-0.7478541860586890
51459783,8.606000,0.000000,0.000000,1028.11,1028.5,1029.77,1030.52,-0.06,0.0,1400.78,649.6871733911170,672.541863044304,0.3116006433941380,646.2469626204590,330.208712912923,2.4447694517128600,644.0777414934640,40.61929826651320,-0.29145912379918300,0.5757634714903520,-0.7223507210480350
51459884,8.706000,0.000000,0.000000,1028.12,1028.61,1029.7,1030.56,-0.06,0.0,1400.78,649.7314215709820,672.5960661668310,0.3262006740692050,646.2679830396640,330.1914740861170,2.3962334606215600,644.0815017132540,40.73439011557160,-0.2767365994418220,0.5795297367405690,-0.7262707241255160
51459983,8.807000,0.000000,0.000000,1028.1,1028.59,1029.78,1030.57,-0.06,0.0,1400.77,649.7514724229030,672.5849070600290,0.2948556714450350,646.2922006447690,330.19453465622900,2.390852134413230,644.1842735761300,40.69378797790740,-0.38070393744060800,0.5788566079659010,-0.7405357418051480
51460084,8.906000,0.000000,0.000000,1028.08,1028.47,1029.75,1030.62,-0.06,0.0,1400.7,649.744615362268,672.5857183441360,0.3179583706391300,646.3210612131510,330.20759616631200,2.3448235883113900,644.2021428630340,40.70522386742690,-0.44315065155443100,0.5729007016682520,-0.7264510892183
