ezloophw-py logger started on:,2026-3-9_121724
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44281919,33.941000,-12.773095,38.975573,1016.91,1028.9,1046.58,1019.14,-0.02,-0.0,1398.07,649.7237235200869,672.3922754635314,0.3419307082222578,660.8013675459284,329.480197793825,-2.4879219900591134,664.2633459389161,43.02973913549758,2.860773153421753,-1.8502748657376615,3.008119023835336
44282018,34.040000,-13.084986,39.874695,1016.87,1028.84,1046.5,1019.12,-0.02,0.0,1398.68,649.7405887021519,672.3828859065985,0.3040921259074886,661.284717478633,329.53757781605793,-2.443395470613598,664.9948080321094,43.05098841628393,2.844278082904637,-1.9285084002433914,3.1150600882601602
44282118,34.141000,-13.153722,40.115567,1016.78,1028.85,1054.41,1021.42,-0.02,0.0,1396.97,649.7369914740895,672.3825139744711,0.317097381124446,661.3005867979333,329.5305405248844,-2.5535862789694885,665.2521731197039,43.09005772316875,2.634639740417007,-1.9317204024897885,3.0730676880807484
44282218,34.241000,-11.662003,35.464011,1016.84,1028.93,1055.37,1021.58,-0.02,0.0,1396.58,649.7279061689352,672.3756104406236,0.25929286365235765,660.9635623484826,329.5695307484119,-2.522898594854658,664.3034360852627,43.09705110711958,3.132992321437379,-1.877228411277774,3.0864973730520324
44282318,34.341000,-9.807056,29.797446,1016.8,1028.84,1054.66,1020.73,-0.02,0.0,1395.95,649.7254763136461,672.4020916118328,0.34493657113566845,661.710899966745,329.52117133743405,-2.536578763262637,659.7350462663246,43.28430478960744,5.381229017564743,-2.0019623915556575,4.399423382865483
44282418,34.441000,-9.613399,29.124188,1016.8,1029.04,1054.42,1020.02,-0.02,0.0,1396.24,649.7348288506802,672.3648688776328,0.30096574543224053,659.8132222003157,329.5014268890261,-2.2684758022787945,658.5626773910471,43.125538728532796,4.877758197370451,-1.6837116563101961,3.6176206483447473
44282519,34.541000,-10.342109,31.326831,1016.73,1029.1,1052.86,1019.24,-0.02,0.0,1396.81,649.7235033526052,672.376344322755,0.3014759519254472,659.4049640731108,329.43676458922323,-1.8334527554705022,653.917233999189,43.2628467551407,6.267183764816439,-1.6170765315016367,4.3327341025746
44282619,34.641000,-11.735971,35.650489,1016.86,1029.19,1051.2,1018.84,-0.02,0.0,1397.47,649.7221734866911,672.3694914291056,0.29120495396419976,657.8295838362924,329.3736497325055,-1.7165021854343936,652.7127267105014,43.121028297708705,5.766630239785871,-1.3540511504266104,3.732173614108934
44282719,34.742000,-12.361079,37.432404,1016.89,1029.2,1051.67,1019.14,-0.02,0.0,1398.02,649.7266135008033,672.3726786193619,0.29621247269717027,657.4426995974293,329.241502045476,-1.5444496958890517,650.5991525444866,43.167063729801875,6.30632156755668,-1.2882090016419618,3.946801157822831
44282819,34.842000,-13.733142,41.763778,1016.87,1029.04,1051.8,1019.16,-0.02,0.0,1398.55,649.7369804294055,672.3915547810998,0.31549262838721126,657.5200992237093,329.2685885669347,-1.5526261597683009,651.5926254406618,43.01960409672819,5.991867274991075,-1.2994274450953176,3.785132289665756
